node_id,tipo,titulo,canal,categoria,vistas,n_autores,n_comentarios_video,channel_id,video_url,comunidad,degree,strength,betweenness,closeness,articulation,component_increase,nombre,n_videos,n_comentarios_autor,author_handle,distinct_channels,distinct_videos,comment_count,recurrent,extra_comments
UCwEe1RKlEv1UpNWmWYfSh4w,autor,,,,,,,,,7,1,1,0.0,0.12357371063441351,False,0,@marioramirez299,1.0,1.0,/@marioramirez299,1,1,1,False,0
UCwO2SXr0ggzwg6QWWrr01nQ,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@ricardofigueroa5720,1.0,1.0,/@ricardofigueroa5720,1,1,1,False,0
UCwUAv3_LpWVtTIi7lkmTL7A,autor,,,,,,,,,3,1,1,0.0,0.03644314868804665,False,0,@kingr4706,1.0,1.0,/@kingr4706,1,1,1,False,0
UCwW2OFy95P7ZBkOPxWkpvYg,autor,,,,,,,,,0,1,2,0.0,0.22186561048893746,False,0,@TeresaLucero-b5o,1.0,2.0,/@TeresaLucero-b5o,1,1,2,True,1
UCwgCc9Jd_gG-uLE_SY-FfPg,autor,,,,,,,,,1,1,1,0.0,0.17422779922779924,False,0,@armindapenados2841,1.0,1.0,/@armindapenados2841,1,1,1,False,0
UCwha8rxULYMVtNwZWeSkE1A,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@mariasamo8637,1.0,1.0,/@mariasamo8637,1,1,1,False,0
UCwjUvRseNtJoItylIyIez7Q,autor,,,,,,,,,1,1,1,0.0,0.17422779922779924,False,0,@Silviazea,1.0,1.0,/@Silviazea,1,1,1,False,0
UCwxoKK59nGCeBqB2sXfDBIw,autor,,,,,,,,,2,1,1,0.0,0.1326122448979592,False,0,@vic-bonivideos,1.0,1.0,/@vic-bonivideos,1,1,1,False,0
UCxKR3RA8T-kxMgq_2WWhRcQ,autor,,,,,,,,,3,1,1,0.0,0.03644314868804665,False,0,@elenaluarca9377,1.0,1.0,/@elenaluarca9377,1,1,1,False,0
UCxcoDvP-g2_KTZDmVZtvb3w,autor,,,,,,,,,7,1,1,0.0,0.12357371063441351,False,0,@angelmartinez9523,1.0,1.0,/@angelmartinez9523,1,1,1,False,0
UCxff05WuyvwELNITi7bj7UA,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@markoherrera,1.0,1.0,/@markoherrera,1,1,1,False,0
UCxhtlxPV8AYWaNNyU6S9H8Q,autor,,,,,,,,,5,1,1,0.0,0.026448979591836733,False,0,@WilR-s8r,1.0,1.0,/@WilR-s8r,1,1,1,False,0
UCyJhqmMbsvjpoarBBStA2kg,autor,,,,,,,,,2,1,6,0.0,0.1326122448979592,False,0,@Murmullodelbarrio,1.0,6.0,/@Murmullodelbarrio,1,1,6,True,5
UCySYJU5kUh7X8gVt9la2ISA,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@dantesarti4351,1.0,1.0,/@dantesarti4351,1,1,1,False,0
UCyW68EGZey4ao_Vf2cR5Ztg,autor,,,,,,,,,7,1,1,0.0,0.12227156405238597,False,0,@ZabalaXabier,1.0,1.0,/@ZabalaXabier,1,1,1,False,0
UCyor0Mmm0ivLX2jIdyGp84Q,autor,,,,,,,,,11,1,1,0.0,0.0038095238095238095,False,0,@MiguelJordan-n3g,1.0,1.0,/@MiguelJordan-n3g,1,1,1,False,0
UCyzf29IYjNw67gGIfsjgtxA,autor,,,,,,,,,3,1,1,0.0,0.03644314868804665,False,0,@carlosoliva9249,1.0,1.0,/@carlosoliva9249,1,1,1,False,0
UCz3gu01bmjNv0DpRq-K3XYg,autor,,,,,,,,,0,1,2,0.0,0.22186561048893746,False,0,@eusebiovasquez4385,1.0,2.0,/@eusebiovasquez4385,1,1,2,True,1
UCzSfZlOVxBSs5ObD25ywxDQ,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@GilmarMaldonado-q9m,1.0,1.0,/@GilmarMaldonado-q9m,1,1,1,False,0
UCzoL2l5H5eVlorWGH8AZfAg,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@jor77cas,1.0,1.0,/@jor77cas,1,1,1,False,0
